Item Name,Support
Mountain Bottle Cage & Water Bottle - 30 oz.,0.053774034641665344
Road Bottle Cage & Water Bottle - 30 oz.,0.04833942475766725
"Long-Sleeve Logo Jersey, L & AWC Logo Cap",0.037247735579215
Water Bottle - 30 oz. & AWC Logo Cap,0.0323851898935325
"Sport-100 Helmet, Blue & AWC Logo Cap",0.03213093913872557
"Sport-100 Helmet, Black & AWC Logo Cap",0.03139996821865565
Mountain Tire Tube & HL Mountain Tire,0.030414746543778803
"Sport-100 Helmet, Red & AWC Logo Cap",0.03035118385507707
"Sport-100 Helmet, Blue & Long-Sleeve Logo Jersey, L",0.028762116637533766
"Sport-100 Helmet, Black & Long-Sleeve Logo Jersey, L",0.027967583028762115
"Sport-100 Helmet, Blue & Sport-100 Helmet, Black",0.026950580009534403
"Sport-100 Helmet, Red & Long-Sleeve Logo Jersey, L",0.02656920387732401
Touring Tire & Touring Tire Tube,0.02567932623549976
"Sport-100 Helmet, Blue & Sport-100 Helmet, Red",0.02520260607023677
"Sport-100 Helmet, Black & Sport-100 Helmet, Red",0.025170824725885905
Mountain Tire Tube & Patch Kit/8 Patches,0.024948355315429844
Mountain Tire Tube & ML Mountain Tire,0.02466232321627205
"Long-Sleeve Logo Jersey, M & AWC Logo Cap",0.023549976163991737
"Sport-100 Helmet, Blue & Long-Sleeve Logo Jersey, M",0.023168600031781346
"Sport-100 Helmet, Black & Long-Sleeve Logo Jersey, M",0.02278722389957095
"Sport-100 Helmet, Black & Water Bottle - 30 oz.",0.022691879866518355
"Long-Sleeve Logo Jersey, M & Sport-100 Helmet, Red",0.022596535833465756
"Sport-100 Helmet, Blue & Water Bottle - 30 oz.",0.02240584776736056
"Water Bottle - 30 oz. & Sport-100 Helmet, Red",0.022278722389957095
"Long-Sleeve Logo Jersey, M & Long-Sleeve Logo Jersey, L",0.02135706340378198
"Long-Sleeve Logo Jersey, XL & AWC Logo Cap",0.020467185761957732
"Long-Sleeve Logo Jersey, XL & Sport-100 Helmet, Red",0.020022246941045607
"Sport-100 Helmet, Blue & Long-Sleeve Logo Jersey, XL",0.019863340219291276
"Sport-100 Helmet, Black & Long-Sleeve Logo Jersey, XL",0.019863340219291276
"Sport-100 Helmet, Blue & Half-Finger Gloves, M",0.019767996186238677
Hydration Pack - 70 oz. & Water Bottle - 30 oz.,0.01941840139837915
"Sport-100 Helmet, Black & Half-Finger Gloves, M",0.01925949467662482
ML Road Tire & Road Tire Tube,0.01925949467662482
"Half-Finger Gloves, M & Sport-100 Helmet, Red",0.019164150643572225
Road Tire Tube & HL Road Tire,0.01894168123311616
Patch Kit/8 Patches & Road Tire Tube,0.0187192118226601
"Long-Sleeve Logo Jersey, M & Long-Sleeve Logo Jersey, XL",0.0186238677896075
"Long-Sleeve Logo Jersey, XL & Long-Sleeve Logo Jersey, L",0.01856030510090577
Water Bottle - 30 oz. & Bike Wash - Dissolver,0.018369617034800573
"Half-Finger Gloves, M & Long-Sleeve Logo Jersey, L",0.018020022246941044
LL Road Tire & Road Tire Tube,0.017638646114730653
"Half-Finger Gloves, M & AWC Logo Cap",0.017289051326871127
"Long-Sleeve Logo Jersey, M & Half-Finger Gloves, M",0.016653424439853806
"Road-650 Black, 52 & Road-650 Red, 44",0.01646273637374861
"Road-650 Red, 44 & Road-650 Red, 60",0.016430955029397745
"Road-650 Black, 52 & Road-650 Red, 60",0.016335610996345146
"Short-Sleeve Classic Jersey, XL & Water Bottle - 30 oz.",0.01620848561894168
"Short-Sleeve Classic Jersey, XL & AWC Logo Cap",0.01598601620848562
"Short-Sleeve Classic Jersey, L & AWC Logo Cap",0.015223263944064834
Mountain Tire Tube & LL Mountain Tire,0.015191482599713969
"Water Bottle - 30 oz. & Short-Sleeve Classic Jersey, L",0.014873669156205308
"Road-650 Black, 52 & Road-650 Black, 58",0.014873669156205308
"Short-Sleeve Classic Jersey, XL & Classic Vest, S",0.014810106467503576
"Road-650 Black, 58 & Road-650 Red, 60",0.014778325123152709
"Water Bottle - 30 oz. & Long-Sleeve Logo Jersey, L",0.014778325123152709
"Road-650 Red, 48 & Road-650 Black, 58",0.014746543778801843
"Road-650 Red, 62 & Road-650 Red, 44",0.01468298109010011
"Road-650 Red, 48 & Road-650 Black, 52",0.014619418401398378
"Road-650 Red, 48 & Road-650 Red, 60",0.014587637057047513
"Road-650 Red, 48 & Road-650 Red, 44",0.014587637057047513
"Road-650 Black, 58 & Road-650 Red, 44",0.014555855712696648
"Road-650 Red, 62 & Road-650 Black, 58",0.014492293023994915
"Mountain-200 Black, 42 & Mountain-200 Black, 38",0.014492293023994915
"Road-650 Red, 62 & Road-650 Red, 60",0.014460511679644048
"Road-650 Black, 52 & Road-650 Red, 62",0.014428730335293183
"Road-650 Red, 48 & Road-650 Red, 62",0.014396948990942317
"Mountain Tire Tube & Sport-100 Helmet, Black",0.014396948990942317
"Short-Sleeve Classic Jersey, XL & Hitch Rack - 4-Bike",0.01388844748132846
"Mountain Tire Tube & Sport-100 Helmet, Red",0.01388844748132846
"Classic Vest, S & Hitch Rack - 4-Bike",0.013824884792626729
"Classic Vest, S & Water Bottle - 30 oz.",0.013793103448275862
Water Bottle - 30 oz. & Hitch Rack - 4-Bike,0.013793103448275862
"Mountain Tire Tube & Sport-100 Helmet, Blue",0.013761322103924997
Hydration Pack - 70 oz. & Bike Wash - Dissolver,0.01372954075957413
"Half-Finger Gloves, M & Water Bottle - 30 oz.",0.013665978070872399
Hitch Rack - 4-Bike & AWC Logo Cap,0.013443508660416336
"Half-Finger Gloves, M & Long-Sleeve Logo Jersey, XL",0.013411727316065469
